3784	3783	3779	3780
3783	3789	3787	3779
3872	3871	3869	3870
3871	3874	3873	3869
3830	3872	3870	3829
3789	3918	3917	3787
3960	3784	3780	3958
3874	3960	3958	3873
4010	4009	3783	3784
4009	4013	3789	3783
4055	4054	3871	3872
4054	4056	3874	3871
4034	4055	3872	3830
4013	4078	3918	3789
4099	4010	3784	3960
4056	4099	3960	3874
4138	4137	4009	4010
4137	4141	4013	4009
4183	4182	4054	4055
4182	4184	4056	4054
4162	4183	4055	4034
4141	4206	4078	4013
4227	4138	4010	4099
4184	4227	4099	4056
4266	4265	4137	4138
4265	4269	4141	4137
4311	4310	4182	4183
4310	4312	4184	4182
4290	4311	4183	4162
4269	4334	4206	4141
4355	4266	4138	4227
4312	4355	4227	4184
4394	4393	4265	4266
4393	4397	4269	4265
4439	4438	4310	4311
4438	4440	4312	4310
4418	4439	4311	4290
4397	4462	4334	4269
4483	4394	4266	4355
4440	4483	4355	4312
4522	4521	4393	4394
4521	4525	4397	4393
4567	4566	4438	4439
4566	4568	4440	4438
4546	4567	4439	4418
4525	4590	4462	4397
4611	4522	4394	4483
4568	4611	4483	4440
4650	4649	4521	4522
4649	4653	4525	4521
4695	4694	4566	4567
4694	4696	4568	4566
4674	4695	4567	4546
4653	4718	4590	4525
4739	4650	4522	4611
4696	4739	4611	4568
4778	4777	4649	4650
4777	4781	4653	4649
4823	4822	4694	4695
4822	4824	4696	4694
4802	4823	4695	4674
4781	4846	4718	4653
4867	4778	4650	4739
4824	4867	4739	4696
4906	4905	4777	4778
4905	4909	4781	4777
4951	4950	4822	4823
4950	4952	4824	4822
4930	4951	4823	4802
4909	4974	4846	4781
4995	4906	4778	4867
4952	4995	4867	4824
5034	5033	4905	4906
5033	5037	4909	4905
5079	5078	4950	4951
5078	5080	4952	4950
5058	5079	4951	4930
5037	5102	4974	4909
5123	5034	4906	4995
5080	5123	4995	4952
3740	3830	3829	3739
3918	3812	3810	3917
3989	4034	3830	3740
4078	4025	3812	3918
4117	4162	4034	3989
4206	4153	4025	4078
4245	4290	4162	4117
4334	4281	4153	4206
4373	4418	4290	4245
4462	4409	4281	4334
4501	4546	4418	4373
4590	4537	4409	4462
4629	4674	4546	4501
4718	4665	4537	4590
4757	4802	4674	4629
4846	4793	4665	4718
4885	4930	4802	4757
4974	4921	4793	4846
5013	5058	4930	4885
5102	5049	4921	4974
3737	3740	3739	3735
3812	3811	3809	3810
3987	3989	3740	3737
4025	4024	3811	3812
4115	4117	3989	3987
4153	4152	4024	4025
4243	4245	4117	4115
4281	4280	4152	4153
4371	4373	4245	4243
4409	4408	4280	4281
4499	4501	4373	4371
4537	4536	4408	4409
4627	4629	4501	4499
4665	4664	4536	4537
4755	4757	4629	4627
4793	4792	4664	4665
4883	4885	4757	4755
4921	4920	4792	4793
5011	5013	4885	4883
5049	5048	4920	4921
