622	621	224	225
623	622	225	226
624	623	226	227
625	624	227	228
626	625	228	229
627	626	229	230
628	627	230	231
629	628	231	232
64	65	146	145
65	66	147	146
66	67	148	147
67	68	149	148
68	69	150	149
69	70	151	150
70	71	152	151
71	72	153	152
232	231	65	64
231	230	66	65
230	229	67	66
229	228	68	67
228	227	69	68
227	226	70	69
226	225	71	70
225	224	72	71
145	146	1428	1429
146	147	1427	1428
147	148	1426	1427
148	149	1425	1426
149	150	1424	1425
150	151	1423	1424
151	152	1422	1423
152	153	1421	1422
1588	1589	1668	1667
1587	1588	1667	1666
1586	1587	1666	1665
1585	1586	1665	1664
1584	1585	1664	1663
1583	1584	1663	1662
1582	1583	1662	1661
1581	1582	1661	1660
549	550	1500	1501
548	549	1501	1502
547	548	1502	1503
546	547	1503	1504
545	546	1504	1505
544	545	1505	1506
543	544	1506	1507
542	543	1507	1508
1501	1500	1589	1588
1502	1501	1588	1587
1503	1502	1587	1586
1504	1503	1586	1585
1505	1504	1585	1584
1506	1505	1584	1583
1507	1506	1583	1582
1508	1507	1582	1581
470	471	550	549
469	470	549	548
468	469	548	547
467	468	547	546
466	467	546	545
465	466	545	544
464	465	544	543
463	464	543	542
1269	1268	1029	1030
1268	1267	1028	1029
1267	1266	1027	1028
1266	1265	1026	1027
1265	1264	1025	1026
1264	1263	1024	1025
1263	1262	1023	1024
1262	1261	1022	1023
849	852	707	708
852	855	706	707
855	858	705	706
858	861	704	705
861	864	703	704
864	867	702	703
867	870	701	702
870	873	700	701
850	853	852	849
853	856	855	852
856	859	858	855
859	862	861	858
862	865	864	861
865	868	867	864
868	871	870	867
871	874	873	870
851	854	853	850
854	857	856	853
857	860	859	856
860	863	862	859
863	866	865	862
866	869	868	865
869	872	871	868
872	875	874	871
1030	1029	854	851
1029	1028	857	854
1028	1027	860	857
1027	1026	863	860
1026	1025	866	863
1025	1024	869	866
1024	1023	872	869
1023	1022	875	872
701	700	384	385
702	701	385	386
703	702	386	387
704	703	387	388
705	704	388	389
706	705	389	390
707	706	390	391
708	707	391	392
